Category,Subcategory,URI
europe,germany,tcp://ygg2.mk16.de:1337?key=000000d80a2d7b3126ea65c8c08fc751088c491a5cdd47eff11c86fa1e4644ae
europe,germany,tls://ygg2.mk16.de:1338?key=000000d80a2d7b3126ea65c8c08fc751088c491a5cdd47eff11c86fa1e4644ae
europe,germany,quic://ygg2.mk16.de:1339?key=000000d80a2d7b3126ea65c8c08fc751088c491a5cdd47eff11c86fa1e4644ae
europe,germany,ws://ygg2.mk16.de:1340?key=000000d80a2d7b3126ea65c8c08fc751088c491a5cdd47eff11c86fa1e4644ae
europe,germany,tls://159.195.4.143:9001
europe,germany,tls://vpn.ltha.de:443?key=0000006149970f245e6cec43664bce203f2514b60a153e194f31e2b229a1339d
europe,germany,tcp://yggdrasil.su:62486
europe,germany,tls://yggdrasil.su:62586
europe,germany,tcp://94.159.110.4:65535
europe,germany,quic://94.159.110.4:65535
europe,germany,tcp://[2a0b:4142:ce0::2]:65535
europe,germany,quic://[2a0b:4142:ce0::2]:65535
europe,germany,tcp://94.159.111.184:65535
europe,germany,quic://94.159.111.184:65535
europe,germany,tcp://[2a0b:4142:e9e::2]:65535
europe,germany,quic://[2a0b:4142:e9e::2]:65535
europe,germany,tcp://87.251.77.39:65535
europe,germany,quic://87.251.77.39:65535
europe,germany,tcp://31.57.241.104:65535
europe,germany,quic://31.57.241.104:65535
europe,germany,tcp://[2a0c:b641:ce0::25d8:c5d6]:65535
europe,germany,quic://[2a0c:b641:ce0::25d8:c5d6]:65535
europe,germany,tcp://ip4.fvm.mywire.org:8080?key=000000000143db657d1d6f80b5066dd109a4cb31f7dc6cb5d56050fffb014217
europe,germany,quic://ip4.fvm.mywire.org:443?key=000000000143db657d1d6f80b5066dd109a4cb31f7dc6cb5d56050fffb014217
europe,germany,tcp://ip6.fvm.mywire.org:8080?key=000000000143db657d1d6f80b5066dd109a4cb31f7dc6cb5d56050fffb014217
europe,germany,quic://ip6.fvm.mywire.org:443?key=000000000143db657d1d6f80b5066dd109a4cb31f7dc6cb5d56050fffb014217
europe,germany,tls://helium.avevad.com:1337
europe,germany,tls://103.109.234.106:443?key=000000035621c71b5610434589df051aed2688510f904ae79860668dc0fbf182
europe,germany,tls://[2a0f:b240:e:162::1]:443?key=000000035621c71b5610434589df051aed2688510f904ae79860668dc0fbf182
europe,germany,tls://yggdrasil.neilalexander.dev:64648?key=ecbbcb3298e7d3b4196103333c3e839cfe47a6ca47602b94a6d596683f6bb358
europe,germany,tcp://bode.theender.net:42069
europe,germany,tls://bode.theender.net:42169?key=f91b909f43829f8b20732b3bcf80cbc4bb078dd47b41638379a078e35984c9a4
europe,germany,quic://bode.theender.net:42269
europe,germany,tls://n.ygg.yt:443
europe,germany,tls://b.ygg.yt:443
europe,germany,tls://g.ygg.yt:443
europe,norway,tls://185.181.60.111:1513?key=00defa4b4b243547f2d5641ac5235ff1e35d393c576e4bb9cd45baefc81e48d9
europe,norway,quic://185.181.60.111:1513?key=00defa4b4b243547f2d5641ac5235ff1e35d393c576e4bb9cd45baefc81e48d9
europe,norway,tls://[2a03:94e0:ffff:185:181:60:0:111]:1513?key=00defa4b4b243547f2d5641ac5235ff1e35d393c576e4bb9cd45baefc81e48d9
europe,norway,quic://[2a03:94e0:ffff:185:181:60:0:111]:1513?key=00defa4b4b243547f2d5641ac5235ff1e35d393c576e4bb9cd45baefc81e48d9
europe,spain,quic://spain.magicum.net:36900
europe,spain,tls://spain.magicum.net:36901
europe,spain,tcp://rendezvous.anton.molyboha.me:50421
europe,hungary,tls://ygg1.grin.hu:42444
europe,hungary,quic://ygg1.grin.hu:4299
europe,hungary,tls://ygg1.grin.hu:42444
europe,hungary,ws://ygg1.grin.hu:42443
europe,romania,tcp://185.165.169.234:8880
europe,romania,tls://185.165.169.234:8443
europe,netherlands,tcp://vpn.itrus.su:7991
europe,netherlands,tls://vpn.itrus.su:7992
europe,netherlands,quic://vpn.itrus.su:7993
europe,netherlands,ws://vpn.itrus.su:7994
europe,netherlands,tls://23.137.249.65:444
europe,netherlands,tcp://146.103.111.53:65535
europe,netherlands,quic://146.103.111.53:65535
europe,netherlands,tcp://[2a14:1e00:3:15c::]:65535
europe,netherlands,quic://[2a14:1e00:3:15c::]:65535
europe,netherlands,tcp://212.34.131.160:65535
europe,netherlands,quic://212.34.131.160:65535
europe,netherlands,tcp://[2a14:1e00:1:bae::]:65535
europe,netherlands,quic://[2a14:1e00:1:bae::]:65535
europe,netherlands,tcp://109.107.177.127:65535
europe,netherlands,quic://109.107.177.127:65535
europe,netherlands,tcp://[2a0d:8480:3:234c::]:65535
europe,netherlands,quic://[2a0d:8480:3:234c::]:65535
europe,netherlands,tcp://146.103.107.222:65535
europe,netherlands,quic://146.103.107.222:65535
europe,netherlands,tcp://[2a14:1e00:3:2b2::]:65535
europe,netherlands,quic://[2a14:1e00:3:2b2::]:65535
europe,netherlands,tcp://5.35.70.181:65535
europe,netherlands,quic://5.35.70.181:65535
europe,netherlands,tcp://[2a14:1e00:1:ecd::]:65535
europe,netherlands,quic://[2a14:1e00:1:ecd::]:65535
europe,netherlands,tcp://88.210.10.78:65535
europe,netherlands,quic://88.210.10.78:65535
europe,netherlands,tcp://[2a0d:8480:1:209e::]:65535
europe,netherlands,quic://[2a0d:8480:1:209e::]:65535
europe,netherlands,tcp://89.110.116.167:65535
europe,netherlands,quic://89.110.116.167:65535
europe,netherlands,tcp://[2a14:1e00:1:f3c::]:65535
europe,netherlands,quic://[2a14:1e00:1:f3c::]:65535
europe,netherlands,tcp://thatmaidguy.fvds.ru:7991
europe,netherlands,tcp://cirno.nadeko.net:44441
europe,netherlands,tls://cirno.nadeko.net:44442
europe,netherlands,tls://62.212.82.55:443?key=00000002a957313975d1fe53b9ac641b05b1a9c37da22d4ebcef45e7a5bd4c67
europe,netherlands,tls://[2001:1af8:4010:a06c:3::112]:443?key=00000002a957313975d1fe53b9ac641b05b1a9c37da22d4ebcef45e7a5bd4c67
europe,finland,tls://95.217.35.92:1337
europe,finland,tls://[2a01:4f9:2b:2d8f::2]:1337
europe,finland,tcp://ygg-hel-1.wgos.org:45170
europe,finland,tls://ygg-hel-1.wgos.org:45171
europe,finland,quic://ygg-hel-1.wgos.org:45171
europe,finland,ws://ygg-hel-1.wgos.org:45172
europe,finland,tls://204.168.147.93:1337
europe,luxembourg,tls://srl.newsdeef.eu:59999
other,lokinet,tcp://jeff.loki:5000
other,lokinet,tcp://yes.loki:5000
other,lokinet,tcp://chiefsnapp.loki:42753
north-america,canada,quic://scarlet.mboa.dev:3443
north-america,canada,tcp://ygg3.mk16.de:1337?key=000003acdaf2a60e8de2f63c3e63b7e911d02380934f09ee5c83acb758f470c1
north-america,canada,tls://ygg3.mk16.de:1338?key=000003acdaf2a60e8de2f63c3e63b7e911d02380934f09ee5c83acb758f470c1
north-america,canada,quic://ygg3.mk16.de:1339?key=000003acdaf2a60e8de2f63c3e63b7e911d02380934f09ee5c83acb758f470c1
north-america,canada,ws://ygg3.mk16.de:1340?key=000003acdaf2a60e8de2f63c3e63b7e911d02380934f09ee5c83acb758f470c1
north-america,united-states,tcp://165.227.17.198:9002
north-america,united-states,tcp://ip4.nerdvm.mywire.org:8080?key=00000000c61d731961a290d127cd3fc03a4c5f3f35b9083559d4c81d48d65854
north-america,united-states,quic://ip4.nerdvm.mywire.org:443?key=00000000c61d731961a290d127cd3fc03a4c5f3f35b9083559d4c81d48d65854
north-america,united-states,tcp://ip6.nerdvm.mywire.org:8080?key=00000000c61d731961a290d127cd3fc03a4c5f3f35b9083559d4c81d48d65854
north-america,united-states,quic://ip6.nerdvm.mywire.org:443?key=00000000c61d731961a290d127cd3fc03a4c5f3f35b9083559d4c81d48d65854
north-america,united-states,tls://redcatho.de:9494
north-america,united-states,quic://redcatho.de:9494
north-america,united-states,tcp://mn.us.ygg.triplebit.org:9000
north-america,united-states,tls://mn.us.ygg.triplebit.org:993
north-america,united-states,quic://mn.us.ygg.triplebit.org:443
north-america,united-states,ws://mn.us.ygg.triplebit.org:9010
north-america,united-states,tcp://ygg-kcmo.incognet.io:8883
north-america,united-states,tls://ygg-kcmo.incognet.io:8884
north-america,united-states,quic://ygg-kcmo.incognet.io:8885
north-america,united-states,ws://ygg-kcmo.incognet.io:8886
